,EquipmentPrice,LoanTerm,payment,total_payment,finance_product_gain,total_interest,total_gain
0,7500,2,385.238541674485,9245.72500018764,772.5,973.22500018764,1745.72500018764
1,10000,2,505.31805556598,12127.633333583519,830.0,1297.6333335835188,2127.633333583519
2,12500,2,625.397569457475,15009.5416669794,887.5,1622.0416669793995,2509.5416669793995
3,15000,2,745.47708334897,17891.45000037528,945.0,1946.45000037528,2891.45000037528
4,17500,2,865.5565972404651,20773.35833377116,1002.5,2270.8583337711607,3273.3583337711607
5,20000,2,985.63611113196,23655.266667167038,1060.0,2595.2666671670377,3655.2666671670377
6,22500,5,532.6250729102896,31957.50437461738,1927.5,7530.00437461738,9457.50437461738
7,25000,5,589.0278587892107,35341.67152735264,1975.0,8366.671527352642,10341.671527352642
8,27500,5,645.4306446681318,38725.83868008791,2022.5,9203.338680087909,11225.838680087909
9,30000,5,701.8334305470529,42110.005832823175,2070.0,10040.005832823175,12110.005832823175
10,32500,5,758.2362164259739,45494.172985558434,2117.5,10876.672985558434,12994.172985558434
11,35000,5,814.6390023048951,48878.34013829371,2165.0,11713.340138293708,13878.340138293708
12,37500,5,871.041788183816,52262.50729102896,2212.5,12550.00729102896,14762.50729102896
13,40000,5,927.4445740627372,55646.67444376423,2260.0,13386.674443764226,15646.674443764226
14,42500,5,983.8473599416583,59030.8415964995,2307.5,14223.3415964995,16530.8415964995
15,45000,5,1040.2501458205793,62415.00874923476,2355.0,15060.00874923476,17415.00874923476
16,47500,5,1096.6529316995004,65799.17590197003,2402.5,15896.675901970026,18299.175901970026
17,50000,5,1153.0557175784213,69183.34305470528,2450.0,16733.343054705285,19183.343054705285
18,52500,7,962.3934718463751,80841.0516350955,2992.5,25348.5516350955,28341.0516350955
19,55000,7,1007.031256220012,84590.625522481,3035.0,26555.625522481,29590.625522481
20,57500,7,1051.6690405936488,88340.1994098665,3077.5,27762.6994098665,30840.1994098665
21,60000,7,1096.3068249672858,92089.773297252,3120.0,28969.773297252003,32089.773297252003
22,62500,7,1140.9446093409229,95839.34718463752,3162.5,30176.847184637518,33339.34718463752
23,65000,7,1185.5823937145597,99588.92107202302,3205.0,31383.92107202302,34588.92107202302
24,67500,7,1230.2201780881965,103338.4949594085,3247.5,32590.994959408505,35838.494959408505
25,70000,7,1274.8579624618335,107088.06884679402,3290.0,33798.06884679402,37088.06884679402
26,72500,7,1319.4957468354703,110837.6427341795,3332.5,35005.142734179506,38337.642734179506
27,75000,7,1364.133531209107,114587.21662156499,3375.0,36212.21662156499,39587.21662156499
28,77500,7,1408.7713155827444,118336.79050895052,3417.5,37419.29050895052,40836.79050895052
29,80000,7,1453.4090999563812,122086.36439633602,3460.0,38626.36439633602,42086.36439633602
30,82500,7,1498.0468843300182,125835.93828372152,3502.5,39833.43828372152,43335.93828372152
31,85000,7,1542.684668703655,129585.51217110702,3545.0,41040.512171107024,44585.512171107024
32,87500,7,1587.3224530772918,133335.0860584925,3587.5,42247.58605849251,45835.08605849251
33,90000,7,1631.9602374509288,137084.65994587803,3630.0,43454.659945878026,47084.659945878026
34,92500,7,1676.5980218245656,140834.2338332635,3672.5,44661.73383326351,48334.23383326351
35,95000,7,1721.2358061982025,144583.807720649,3715.0,45868.807720649,49583.807720649
36,97500,7,1765.8735905718395,148333.3816080345,3757.5,47075.88160803451,50833.38160803451
