,EquipmentPrice,LoanTerm,payment,total_payment,finance_product_gain,total_interest,total_gain
81,210000,7,3759.5738873855003,315804.206540382,4410.0,101394.206540382,105804.206540382
82,212500,7,3804.033100330566,319538.78042776755,4437.5,102601.28042776755,107038.78042776755
83,215000,7,3848.492313275631,323273.35431515303,4465.0,103808.35431515303,108273.35431515303
84,217500,7,3892.951526220697,327007.9282025385,4492.5,105015.42820253852,109507.92820253852
85,220000,7,3937.410739165762,330742.502089924,4520.0,106222.502089924,110742.502089924
86,222500,7,3981.869952110828,334477.07597730955,4547.5,107429.57597730955,111977.07597730955
87,225000,7,4026.329165055893,338211.64986469503,4575.0,108636.64986469503,113211.64986469503
88,227500,7,4070.7883780009583,341946.2237520805,4602.5,109843.72375208052,114446.22375208052
89,230000,7,4115.247590946024,345680.797639466,4630.0,111050.797639466,115680.797639466
90,232500,7,4159.706803891089,349415.3715268515,4657.5,112257.8715268515,116915.3715268515
91,235000,7,4204.166016836155,353149.94541423704,4685.0,113464.94541423704,118149.94541423704
92,237500,7,4248.625229781221,356884.5193016225,4712.5,114672.01930162252,119384.51930162252
93,240000,7,4293.084442726286,360619.09318900807,4740.0,115879.09318900807,120619.09318900807
94,242500,7,4337.543655671351,364353.6670763935,4767.5,117086.1670763935,121853.6670763935
95,245000,7,4382.002868616417,368088.24096377904,4795.0,118293.24096377904,123088.24096377904
96,247500,7,4426.462081561483,371822.8148511645,4822.5,119500.31485116453,124322.81485116453
97,250000,7,4470.921294506548,375557.3887385501,4850.0,120707.38873855007,125557.38873855007
98,252500,7,4515.380507451613,379291.9626259355,4877.5,121914.4626259355,126791.9626259355
99,255000,7,4559.839720396679,383026.53651332104,4905.0,123121.53651332104,128026.53651332104
100,257500,7,4604.298933341745,386761.1104007066,4932.5,124328.61040070659,129261.11040070659
101,260000,7,4648.75814628681,390495.6842880921,4960.0,125535.68428809207,130495.68428809207
102,262500,7,4693.217359231876,394230.25817547756,4987.5,126742.75817547756,131730.25817547756
103,265000,7,4737.676572176941,397964.83206286305,5015.0,127949.83206286305,132964.83206286305
104,267500,7,4782.135785122006,401699.40595024853,5042.5,129156.90595024853,134199.40595024853
105,270000,7,4826.594998067072,405433.9798376341,5070.0,130363.97983763408,135433.97983763408
106,272500,7,4871.054211012138,409168.55372501956,5097.5,131571.05372501956,136668.55372501956
107,275000,7,4915.513423957203,412903.127612405,5125.0,132778.127612405,137903.127612405
108,277500,7,4959.972636902268,416637.70149979054,5152.5,133985.20149979054,139137.70149979054
109,280000,7,5004.431849847334,420372.2753871761,5180.0,135192.27538717608,140372.27538717608
110,282500,7,5048.8910627924,424106.84927456157,5207.5,136399.34927456157,141606.84927456157
111,285000,7,5093.3502757374645,427841.423161947,5235.0,137606.423161947,142841.423161947
112,287500,7,5137.80948868253,431575.99704933254,5262.5,138813.49704933254,144075.99704933254
113,290000,7,5182.268701627596,435310.570936718,5290.0,140020.57093671802,145310.57093671802
114,292500,7,5226.727914572662,439045.14482410357,5317.5,141227.64482410357,146545.14482410357
115,295000,7,5271.187127517726,442779.718711489,5345.0,142434.718711489,147779.718711489
116,297500,7,5315.646340462792,446514.29259887454,5372.5,143641.79259887454,149014.29259887454
117,300000,7,5360.105553407858,450248.86648626,5400.0,144848.86648626003,150248.86648626003
118,302500,7,5404.5647663529235,453983.4403736456,5427.5,146055.94037364557,151483.44037364557
119,305000,7,5449.023979297988,457718.014261031,5455.0,147263.014261031,152718.014261031
