,EquipmentPrice,LoanTerm,payment,total_payment,finance_product_gain,total_interest,total_gain
0,7500,2,384.613541674485,9230.72500018764,757.5,973.22500018764,1730.72500018764
1,10000,2,504.4847222326467,12107.63333358352,810.0,1297.6333335835207,2107.6333335835207
2,12500,2,624.3559027908084,14984.541666979401,862.5,1622.0416669794013,2484.5416669794013
3,15000,2,744.22708334897,17861.45000037528,915.0,1946.45000037528,2861.45000037528
4,17500,2,864.0982639071317,20738.35833377116,967.5,2270.8583337711607,3238.3583337711607
5,20000,2,983.9694444652933,23615.26666716704,1020.0,2595.2666671670413,3615.2666671670413
6,22500,5,533.3750729102896,32002.50437461738,1972.5,7530.00437461738,9502.50437461738
7,25000,5,589.861192122544,35391.67152735264,2025.0,8366.671527352642,10391.671527352642
8,27500,5,646.3473113347984,38780.8386800879,2077.5,9203.338680087902,11280.838680087902
9,30000,5,702.8334305470529,42170.005832823175,2130.0,10040.005832823175,12170.005832823175
10,32500,5,759.3195497593073,45559.172985558434,2182.5,10876.672985558434,13059.172985558434
11,35000,5,815.8056689715618,48948.34013829371,2235.0,11713.340138293708,13948.340138293708
12,37500,5,872.291788183816,52337.50729102896,2287.5,12550.00729102896,14837.50729102896
13,40000,5,928.7779073960705,55726.674443764234,2340.0,13386.674443764234,15726.674443764234
14,42500,5,985.2640266083249,59115.84159649949,2392.5,14223.341596499493,16615.841596499493
15,45000,5,1041.7501458205793,62505.00874923476,2445.0,15060.00874923476,17505.00874923476
16,47500,5,1098.2362650328337,65894.17590197003,2497.5,15896.675901970026,18394.175901970026
17,50000,5,1154.722384245088,69283.34305470528,2550.0,16733.343054705285,19283.343054705285
18,52500,7,963.6434718463751,80946.0516350955,3097.5,25348.5516350955,28446.0516350955
19,55000,7,1008.3407800295357,84700.625522481,3145.0,26555.625522481,29700.625522481
20,57500,7,1053.0380882126965,88455.1994098665,3192.5,27762.6994098665,30955.1994098665
21,60000,7,1097.7353963958574,92209.77329725202,3240.0,28969.773297252017,32209.773297252017
22,62500,7,1142.432704579018,95964.34718463752,3287.5,30176.847184637518,33464.34718463752
23,65000,7,1187.1300127621787,99718.921072023,3335.0,31383.921072023004,34718.921072023004
24,67500,7,1231.8273209453394,103473.4949594085,3382.5,32590.994959408505,35973.494959408505
25,70000,7,1276.5246291285,107228.068846794,3430.0,33798.068846794005,37228.068846794005
26,72500,7,1321.221937311661,110982.64273417952,3477.5,35005.14273417952,38482.64273417952
27,75000,7,1365.9192454948216,114737.216621565,3525.0,36212.21662156501,39737.21662156501
28,77500,7,1410.6165536779824,118491.79050895052,3572.5,37419.29050895052,40991.79050895052
29,80000,7,1455.313861861143,122246.36439633602,3620.0,38626.36439633602,42246.36439633602
30,82500,7,1500.0111700443038,126000.93828372151,3667.5,39833.43828372151,43500.93828372151
31,85000,7,1544.7084782274644,129755.51217110701,3715.0,41040.51217110701,44755.51217110701
32,87500,7,1589.4057864106253,133510.08605849254,3762.5,42247.58605849254,46010.08605849254
33,90000,7,1634.103094593786,137264.65994587803,3810.0,43454.659945878026,47264.659945878026
34,92500,7,1678.8004027769466,141019.2338332635,3857.5,44661.73383326351,48519.23383326351
35,95000,7,1723.4977109601073,144773.807720649,3905.0,45868.807720649,49773.807720649
36,97500,7,1768.195019143268,148528.3816080345,3952.5,47075.88160803451,51028.38160803451
37,100000,7,1812.8923273264288,152282.95549542003,4000.0,48282.95549542003,52282.95549542003
38,102500,7,1850.2682069381608,155422.52938280551,3432.5,49490.029382805515,52922.529382805515
39,105000,7,1894.7869436927501,159162.103270191,3465.0,50697.103270191,54162.103270191
40,107500,7,1939.3056804473395,162901.67715757652,3497.5,51904.177157576516,55401.677157576516
41,110000,7,1983.8244172019288,166641.25104496203,3530.0,53111.25104496203,56641.25104496203
42,112500,7,2028.3431539565179,170380.8249323475,3562.5,54318.32493234749,57880.82493234749
43,115000,7,2072.861890711107,174120.398819733,3595.0,55525.398819733,59120.398819733
44,117500,7,2117.3806274656968,177859.97270711852,3627.5,56732.47270711852,60359.97270711852
45,120000,7,2161.899364220286,181599.546594504,3660.0,57939.546594504005,61599.546594504005
46,122500,7,2206.4181009748754,185339.12048188952,3692.5,59146.62048188952,62839.12048188952
47,125000,7,2250.9368377294645,189078.694369275,3725.0,60353.69436927501,64078.69436927501
48,127500,7,2295.4555744840536,192818.2682566605,3757.5,61560.76825666049,65318.26825666049
49,130000,7,2339.974311238643,196557.84214404604,3790.0,62767.84214404604,66557.84214404604
50,132500,7,2384.4930479932323,200297.41603143152,3822.5,63974.91603143152,67797.41603143152
51,135000,7,2429.011784747822,204036.98991881704,3855.0,65181.98991881704,69036.98991881704
52,137500,7,2473.530521502411,207776.56380620252,3887.5,66389.06380620252,70276.56380620252
53,140000,7,2518.049258257,211516.137693588,3920.0,67596.13769358801,71516.13769358801
54,142500,7,2562.5679950115896,215255.71158097353,3952.5,68803.21158097353,72755.71158097353
55,145000,7,2607.0867317661787,218995.285468359,3985.0,70010.28546835901,73995.28546835901
56,147500,7,2651.6054685207678,222734.8593557445,4017.5,71217.3593557445,75234.8593557445
57,150000,7,2696.1242052753573,226474.43324313,4050.0,72424.43324313001,76474.43324313001
58,152500,7,2740.6429420299464,230214.0071305155,4082.5,73631.5071305155,77714.0071305155
59,155000,7,2785.1616787845364,233953.58101790107,4115.0,74838.58101790107,78953.58101790107
60,157500,7,2829.680415539125,237693.1549052865,4147.5,76045.6549052865,80193.1549052865
61,160000,7,2874.1991522937146,241432.72879267202,4180.0,77252.72879267202,81432.72879267202
62,162500,7,2918.7178890483037,245172.3026800575,4212.5,78459.8026800575,82672.3026800575
63,165000,7,2963.2366258028933,248911.87656744305,4245.0,79666.87656744305,83911.87656744305
64,167500,7,3007.7553625574824,252651.45045482853,4277.5,80873.95045482853,85151.45045482853
65,170000,7,3052.274099312072,256391.02434221405,4310.0,82081.02434221405,86391.02434221405
66,172500,7,3096.792836066661,260130.59822959953,4342.5,83288.09822959953,87630.59822959953
67,175000,7,3141.3115728212506,263870.1721169851,4375.0,84495.17211698508,88870.17211698508
68,177500,7,3185.8303095758397,267609.7460043705,4407.5,85702.2460043705,90109.7460043705
69,180000,7,3230.349046330429,271349.319891756,4440.0,86909.319891756,91349.319891756
70,182500,7,3274.8677830850183,275088.89377914154,4472.5,88116.39377914154,92588.89377914154
71,185000,7,3319.3865198396074,278828.467666527,4505.0,89323.46766652702,93828.46766652702
72,187500,7,3363.905256594197,282568.04155391257,4537.5,90530.54155391257,95068.04155391257
73,190000,7,3408.423993348786,286307.61544129805,4570.0,91737.61544129805,96307.61544129805
74,192500,7,3452.942730103375,290047.18932868354,4602.5,92944.68932868354,97547.18932868354
75,195000,7,3497.4614668579648,293786.763216069,4635.0,94151.76321606903,98786.76321606903
76,197500,7,3541.980203612554,297526.3371034545,4667.5,95358.83710345451,100026.33710345451
77,200000,7,3586.498940367143,301265.91099084,4700.0,96565.91099084,101265.91099084
78,202500,7,3626.196248550304,304600.48487822554,4327.5,97772.98487822554,102100.48487822554
79,205000,7,3670.6554614953693,308335.05876561103,4355.0,98980.05876561103,103335.05876561103
80,207500,7,3715.1146744404355,312069.6326529966,4382.5,100187.13265299657,104569.63265299657
